,0
ws10m_q000,1.6183205698458365
ws10m_q001,1.6151007639489208
ws10m_q010,1.6278650808295
ws10m_q025,1.6644652656951415
ws10m_q050,1.6905455075569853
ws10m_q075,1.7135105051215287
ws10m_q090,1.7306751544168348
ws10m_q099,1.7516020200074718
ws10m_q100,1.7551071466656836
wd10m_q000,90.73503995894812
wd10m_q001,90.05627451852615
wd10m_q010,89.7165011016473
wd10m_q025,89.50427747913109
wd10m_q050,89.42125699778467
wd10m_q075,90.65859133528394
wd10m_q090,92.5341701790902
wd10m_q099,93.72474160748173
wd10m_q100,94.59421819036524
mslp_q000,6.508719524395209
mslp_q001,6.507696804440624
mslp_q010,6.493179411518138
mslp_q025,6.4808266373762065
mslp_q050,6.456937539340276
mslp_q075,6.431660255478137
mslp_q090,6.412971394449276
mslp_q099,6.3973227759386715
mslp_q100,6.394699182744217
ws1000hpa_q000,1.3599742420402472
ws1000hpa_q001,1.3635904906304057
ws1000hpa_q010,1.423726862726495
ws1000hpa_q025,1.5168043049085849
ws1000hpa_q050,1.577352304202432
ws1000hpa_q075,1.6716916303123315
ws1000hpa_q090,1.7395221358944626
ws1000hpa_q099,1.8428751114520716
ws1000hpa_q100,1.8602384983653781
ws975hpa_q000,2.1740613176298877
ws975hpa_q001,2.1777763815041697
ws975hpa_q010,2.3603161110101336
ws975hpa_q025,2.5761066655308325
ws975hpa_q050,2.827388324796034
ws975hpa_q075,2.9564233012191634
ws975hpa_q090,3.017555371388561
ws975hpa_q099,3.078475876404435
ws975hpa_q100,3.0923792610684897
ws950hpa_q000,3.8564748755072724
ws950hpa_q001,3.8559469832729363
ws950hpa_q010,3.8975281937330544
ws950hpa_q025,3.961895202525263
ws950hpa_q050,4.040642239044478
ws950hpa_q075,4.085500331144657
ws950hpa_q090,4.10048912601335
ws950hpa_q099,4.107573538719178
ws950hpa_q100,4.109786139127377
wind_dir_deg_AFW,80.56521675720805
wind_dir_deg_DAL,80.17879985131712
wind_dir_deg_DFW,79.16782196208206
wind_dir_deg_DTO,83.73821067898342
wind_dir_deg_FTW,81.82503722200894
wind_dir_deg_RBD,80.2339874389771
wind_speed_mps_AFW,2.2735485132077167
wind_speed_mps_DAL,1.8044307206343082
wind_speed_mps_DFW,2.1547391498220185
wind_speed_mps_DTO,2.240522840738111
wind_speed_mps_FTW,2.1045173737561957
wind_speed_mps_RBD,1.9279958999282436
